Magnitud,Longitud,Latitud,Profundidad.Km
4,136.951,33.733,358.9
4.3,138.755,29.875,412.6
4.9,139.775,35.91,88.9
4.8,139.778,-3.131,124.8
5.8,140.943,37.117,57.1
4.1,141.988,45.629,301.4
4.7,142.125,36.817,38.9
4.6,142.363,39.76,35.3
5,142.456,40.36,28.1
4.5,142.515,37.901,34.3
4.7,142.57,38.697,23.1
4.9,144.082,12.132,8.8
4.9,144.126,12.302,51.9
4.8,144.73,39.05,35.3
5.1,144.777,40.843,9.9
4.5,144.795,40.859,10.3
4.8,145.71,17.642,175.1
4.8,147.739,-5.837,12.5
5.5,152.091,-4.03,16.7
5.1,153.454,-4.351,109.5
5.7,153.47,-4.498,97.5
4.8,153.526,-4.425,112.9
5.2,154.582,-6.608,45.7
4.4,160.28,53.132,62.3
4.6,162.47,55.824,39.1
4.9,167.497,-14.748,125.8
4.8,168.071,-18.39,71.8
